,character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
259,Earthquake,2,0,0,2,2
822,Charles Xavier (Masque's Doppelganger),2,0,0,2,2
821,Alexander Summers (Masque's Doppelganger),2,0,0,2,2
818,Ororo Munroe (Masque's Doppelganger),2,0,0,2,2
815,Scott Summer (Masque's Doppelganger),2,0,0,2,2
814,James Howlett (Masque's Doppelganger),2,0,0,2,2
813,Kurt Wagner (Masque's Doppelganger),2,0,0,2,2
811,Warren Worthington III (Masque's Doppelganger),2,0,0,2,2
807,Bouncer (Morlock),2,1,0,3,3
802,Harry Malone,2,0,0,2,2
793,Eric Beale,2,0,1,2,3
24,Veronica Dultry,2,1,1,3,4
181,Captain Hama,2,0,0,2,2
1505,Anthony Stark (Earth-2122),2,0,0,2,2
175,Tanya Anderssen,2,1,0,3,3
1270,Rita Tanaka,2,0,0,2,2
1284,Crystalia Amaquelin,2,0,0,2,2
74,X-Sentinels,2,1,0,3,3
75,Charles Xavier (X-Sentinel),2,0,0,2,2
1279,Hard-Drive,2,0,0,2,2
76,Scott Summers (X-Sentinel),2,0,0,2,2
77,Jean Grey (X-Sentinel),2,0,0,2,2
78,Henry McCoy (X-Sentinel),2,0,0,2,2
79,Warren Worthington III (X-Sentinel),2,0,0,2,2
1271,Shizu'ko,2,0,0,2,2
1269,George Tanaka,2,0,0,2,2
80,Robert Drake (X-Sentinel),2,0,0,2,2
1268,Tatsu'o,2,0,0,2,2
1267,Hiro (Cyburai),2,0,0,2,2
1263,Cyburai,2,0,0,2,2
1262,Clan Tatsu,2,0,0,2,2
1261,Yakuza,2,0,0,2,2
1254,Timothy Jones (Child),2,0,0,2,2
1252,Beryl,2,0,0,2,2
1251,Cerise (Ravens),2,0,0,2,2
1250,Cobalt (Ravens),2,0,0,2,2
1285,Blackagar Boltagon,2,0,0,2,2
1286,Karnak Mander-Azur,2,0,0,2,2
1287,Gorgon Petragon,2,0,0,2,2
1480,Emma Collins,2,0,0,2,2
1370,Queen Consort (Earth-1193),2,0,0,2,2
1369,Queen Mother (Earth-1193),2,0,0,2,2
1462,Kymri (Earth-1289),2,0,0,2,2
1365,Ogre (Earth-1193),2,0,1,2,3
1364,Shaitan (Earth-1193),2,0,0,2,2
1463,Lockheed (Earth-1289),2,0,0,2,2
1334,Meggan Puceanu (Earth-597),2,0,0,2,2
1464,Anjulie (Earth-1289),2,0,0,2,2
1471,Dirty Angels Strike Force (Earth-9019),2,0,0,2,2
1472,Rico (Earth-9019),2,0,0,2,2
1473,Kay (Earth-9019),2,0,0,2,2
67,Valentina Allegra de Fontaine,2,0,0,2,2
1312,Colin McKay,2,0,2,2,4
1311,Gateway Technologies,2,0,0,2,2
1310,Executioner (Crazy Gang),2,1,0,3,3
1309,Knave (Crazy Gang),2,1,0,3,3
1308,Red Queen,2,2,0,4,4
1307,Jester IV,2,1,0,3,3
1474,"James Braddock, Jr. (Earth-9019)",2,0,1,2,3
1249,Paul Burton,2,0,1,2,3
1241,Jakub Kurczak,2,0,0,2,2
1501,Amahl Farouk (Earth-2122),2,0,0,2,2
